Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Aug 22, 2019",137.78,138.66,139.2,136.29,18.71M
"Aug 21, 2019",138.79,138.55,139.49,138.0,14.98M
"Aug 20, 2019",137.26,138.21,138.71,137.24,21.19M
"Aug 19, 2019",138.41,137.85,138.55,136.88,24.37M
"Aug 16, 2019",136.13,134.88,136.46,134.72,25.03M
"Aug 15, 2019",133.68,134.39,134.58,132.25,28.13M
"Aug 14, 2019",133.98,136.36,136.92,133.67,32.53M
"Aug 13, 2019",138.6,136.05,138.8,135.0,25.50M
"Aug 12, 2019",135.79,137.07,137.86,135.24,20.48M
"Aug 09, 2019",137.71,138.61,139.38,136.46,23.47M
"Aug 08, 2019",138.89,136.6,138.99,135.93,27.50M
"Aug 07, 2019",135.28,133.79,135.65,131.83,33.41M
"Aug 06, 2019",134.69,133.8,135.68,133.21,32.70M
"Aug 05, 2019",132.21,133.3,133.93,130.78,42.75M
"Aug 02, 2019",136.9,138.09,138.32,135.26,30.79M
"Aug 01, 2019",138.06,137.0,140.94,136.93,40.56M
"Jul 31, 2019",136.27,140.33,140.49,135.08,38.60M
"Jul 30, 2019",140.35,140.14,141.22,139.8,16.85M
"Jul 29, 2019",141.03,141.5,141.51,139.37,16.61M
"Jul 26, 2019",141.34,140.37,141.68,140.3,19.04M
"Jul 25, 2019",140.19,140.43,140.61,139.32,18.36M
"Jul 24, 2019",140.72,138.9,140.74,138.85,20.74M
"Jul 23, 2019",139.29,139.76,139.99,138.03,18.03M
"Jul 22, 2019",138.43,137.41,139.19,137.33,25.08M
"Jul 19, 2019",136.62,140.22,140.67,136.45,48.99M
"Jul 18, 2019",136.42,135.55,136.62,134.67,30.81M
"Jul 17, 2019",136.27,137.7,137.93,136.22,20.21M
"Jul 16, 2019",137.08,138.96,139.05,136.52,22.73M
"Jul 15, 2019",138.9,139.44,139.54,138.46,16.65M
"Jul 12, 2019",138.9,138.85,139.13,138.01,18.94M
"Jul 11, 2019",138.4,138.2,139.22,137.87,22.33M
"Jul 10, 2019",137.85,137.13,138.58,137.02,24.20M
"Jul 09, 2019",136.46,136.0,136.97,135.8,19.95M
"Jul 08, 2019",136.96,136.4,137.1,135.37,16.78M
"Jul 05, 2019",137.06,135.94,137.33,135.72,18.14M
"Jul 03, 2019",137.46,136.8,137.74,136.29,13.63M
"Jul 02, 2019",136.58,136.12,136.59,135.34,15.24M
"Jul 01, 2019",135.68,136.63,136.7,134.97,22.65M
"Jun 28, 2019",133.96,134.57,134.6,133.16,30.04M
"Jun 27, 2019",134.15,134.14,134.71,133.51,16.56M
"Jun 26, 2019",133.93,134.35,135.74,133.6,23.66M
"Jun 25, 2019",133.43,137.25,137.59,132.73,33.33M
"Jun 24, 2019",137.78,137.0,138.4,137.0,20.63M
"Jun 21, 2019",136.97,136.58,137.73,136.46,36.73M
"Jun 20, 2019",136.95,137.45,137.66,135.72,33.04M
"Jun 19, 2019",135.69,135.0,135.93,133.81,23.74M
"Jun 18, 2019",135.16,134.19,135.24,133.57,25.93M
"Jun 17, 2019",132.85,132.63,133.73,132.53,14.52M
"Jun 14, 2019",132.45,132.26,133.79,131.64,17.82M
"Jun 13, 2019",132.32,131.98,132.67,131.56,17.20M
"Jun 12, 2019",131.49,131.4,131.97,130.71,17.09M
"Jun 11, 2019",132.1,133.88,134.24,131.28,23.91M
"Jun 10, 2019",132.6,132.4,134.08,132.0,26.48M
"Jun 07, 2019",131.4,129.19,132.25,128.26,33.89M
"Jun 06, 2019",127.82,126.44,127.97,125.6,21.46M
"Jun 05, 2019",125.83,124.95,125.87,124.21,24.93M
"Jun 04, 2019",123.16,121.28,123.28,120.65,29.38M
"Jun 03, 2019",119.84,123.85,124.37,119.01,37.98M
"May 31, 2019",123.68,124.23,124.61,123.32,26.65M
"May 30, 2019",125.73,125.26,125.76,124.78,16.83M
"May 29, 2019",124.94,125.38,125.39,124.04,22.76M
"May 28, 2019",126.16,126.98,128.0,126.05,23.13M
"May 24, 2019",126.24,126.91,127.42,125.97,14.12M
"May 23, 2019",126.18,126.2,126.29,124.74,23.60M
"May 22, 2019",127.67,126.62,128.24,126.52,15.40M
"May 21, 2019",126.9,127.43,127.53,126.58,15.29M
"May 20, 2019",126.22,126.52,127.59,125.76,23.71M
"May 17, 2019",128.07,128.31,130.46,127.92,25.77M
"May 16, 2019",128.93,126.75,129.38,126.46,30.11M
"May 15, 2019",126.02,124.26,126.71,123.7,24.72M
