,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
65,2019-07-24,140.72,138.9,140.74,138.85,20740000,7,2019,0.37805834938298144,Slight or No change
66,2019-07-23,139.29,139.76,139.99,138.03,18030000,7,2019,-1.0162023877202997,Negative
67,2019-07-22,138.43,137.41,139.19,137.33,25080000,7,2019,-0.6174168999928065,Slight negative
68,2019-07-19,136.62,140.22,140.67,136.45,48990000,7,2019,-1.3075200462327574,Negative
69,2019-07-18,136.42,135.55,136.62,134.67,30810000,7,2019,-0.1463914507392916,Slight or No change
70,2019-07-17,136.27,137.7,137.93,136.22,20210000,7,2019,-0.10995455211844085,Slight or No change
71,2019-07-16,137.08,138.96,139.05,136.52,22730000,7,2019,0.5944081602700546,Slight positive
72,2019-07-15,138.9,139.44,139.54,138.46,16649999,7,2019,1.3276918587685982,Positive
73,2019-07-12,138.9,138.85,139.13,138.01,18940000,7,2019,0.0,Slight or No change
74,2019-07-11,138.4,138.2,139.22,137.87,22330000,7,2019,-0.3599712023038104,Slight or No change
75,2019-07-10,137.85,137.13,138.58,137.02,24200000,7,2019,-0.39739884393064084,Slight or No change
76,2019-07-09,136.46,136.0,136.97,135.8,19950000,7,2019,-1.0083424011606668,Negative
77,2019-07-08,136.96,136.4,137.1,135.37,16780000,7,2019,0.36640773853142683,Slight or No change
78,2019-07-05,137.06,135.94,137.33,135.72,18140000,7,2019,0.07301401869157509,Slight or No change
79,2019-07-03,137.46,136.8,137.74,136.29,13630000,7,2019,0.2918429884722018,Slight or No change
80,2019-07-02,136.58,136.12,136.59,135.34,15240000,7,2019,-0.640186235995921,Slight negative
81,2019-07-01,135.68,136.63,136.7,134.97,22650000,7,2019,-0.6589544589251761,Slight negative
82,2019-06-28,133.96,134.57,134.6,133.16,30040000,6,2019,-1.2676886792452824,Negative
83,2019-06-27,134.15,134.14,134.71,133.51,16559999,6,2019,0.14183338309943228,Slight or No change
84,2019-06-26,133.93,134.35,135.74,133.6,23660000,6,2019,-0.16399552739471135,Slight or No change
85,2019-06-25,133.43,137.25,137.59,132.73,33330000,6,2019,-0.373329351153584,Slight or No change
86,2019-06-24,137.78,137.0,138.4,137.0,20630000,6,2019,3.2601364011091816,Among top gainers
87,2019-06-21,136.97,136.58,137.73,136.46,36730000,6,2019,-0.5878937436492926,Slight negative
88,2019-06-20,136.95,137.45,137.66,135.72,33040000,6,2019,-0.01460173760677863,Slight or No change
89,2019-06-19,135.69,135.0,135.93,133.81,23740000,6,2019,-0.9200438116100718,Slight negative
90,2019-06-18,135.16,134.19,135.24,133.57,25930000,6,2019,-0.39059621195371985,Slight or No change
91,2019-06-17,132.85,132.63,133.73,132.53,14520000,6,2019,-1.7090855282627992,Negative
92,2019-06-14,132.45,132.26,133.79,131.64,17820000,6,2019,-0.30109145652992275,Slight or No change
93,2019-06-13,132.32,131.98,132.67,131.56,17200000,6,2019,-0.09815024537560557,Slight or No change
94,2019-06-12,131.49,131.4,131.97,130.71,17090000,6,2019,-0.6272672309552529,Slight negative
95,2019-06-11,132.1,133.88,134.24,131.28,23910000,6,2019,0.46391360559736583,Slight or No change
96,2019-06-10,132.6,132.4,134.08,132.0,26480000,6,2019,0.37850113550341735,Slight or No change
97,2019-06-07,131.4,129.19,132.25,128.26,33890000,6,2019,-0.9049773755656076,Slight negative
98,2019-06-06,127.82,126.44,127.97,125.6,21460000,6,2019,-2.7245053272450637,Negative
99,2019-06-05,125.83,124.95,125.87,124.21,24930000,6,2019,-1.5568768580816683,Negative
100,2019-06-04,123.16,121.28,123.28,120.65,29380000,6,2019,-2.1219105141858097,Negative
101,2019-06-03,119.84,123.85,124.37,119.01,37980000,6,2019,-2.6956804157193814,Negative
102,2019-05-31,123.68,124.23,124.61,123.32,26650000,5,2019,3.204272363150862,Among top gainers
103,2019-05-30,125.73,125.26,125.76,124.78,16830000,5,2019,1.6575032341526574,Positive
104,2019-05-29,124.94,125.38,125.39,124.04,22760000,5,2019,-0.6283305495903946,Slight negative
105,2019-05-28,126.16,126.98,128.0,126.05,23130000,5,2019,0.9764687049783838,Slight positive
106,2019-05-24,126.24,126.91,127.42,125.97,14120000,5,2019,0.06341154090043766,Slight or No change
107,2019-05-23,126.18,126.2,126.29,124.74,23600000,5,2019,-0.0475285171102513,Slight or No change
108,2019-05-22,127.67,126.62,128.24,126.52,15400000,5,2019,1.1808527500396293,Positive
109,2019-05-21,126.9,127.43,127.53,126.58,15290000,5,2019,-0.6031174120780136,Slight negative
110,2019-05-20,126.22,126.52,127.59,125.76,23710000,5,2019,-0.5358550039401111,Slight negative
111,2019-05-17,128.07,128.31,130.46,127.92,25770000,5,2019,1.4656948185707508,Positive
112,2019-05-16,128.93,126.75,129.38,126.46,30110000,5,2019,0.6715077691887394,Slight positive
113,2019-05-15,126.02,124.26,126.71,123.7,24720000,5,2019,-2.257038703172276,Negative
114,2019-05-14,124.73,123.87,125.88,123.7,25270000,5,2019,-1.0236470401523534,Negative
115,2019-05-13,123.35,124.11,125.55,123.04,33940000,5,2019,-1.1063898019722629,Negative
116,2019-05-10,127.13,124.91,127.93,123.82,30920000,5,2019,3.064450749898673,Among top gainers
117,2019-05-09,125.5,124.29,125.79,123.57,27240000,5,2019,-1.2821521277432524,Negative
118,2019-05-08,125.51,125.44,126.37,124.75,28420000,5,2019,0.007968127490043386,Slight or No change
119,2019-05-07,125.52,126.46,127.18,124.22,36020000,5,2019,0.007967492630056583,Slight or No change
120,2019-05-06,128.15,126.39,128.56,126.11,24240000,5,2019,2.0952836201402203,Positive
121,2019-05-03,128.9,127.36,129.43,127.25,24910000,5,2019,0.5852516582130374,Slight positive
122,2019-05-02,126.21,127.98,128.0,125.52,27350000,5,2019,-2.0868890612878332,Negative
123,2019-05-01,127.88,130.53,130.65,127.7,26820000,5,2019,1.3231915062198008,Positive
124,2019-04-30,130.6,129.81,130.7,129.39,24170000,4,2019,2.1269940569283774,Positive
125,2019-04-29,129.77,129.9,130.18,129.35,16320000,4,2019,-0.6355283307809989,Slight negative
126,2019-04-26,129.89,129.7,130.52,129.02,23650000,4,2019,0.09247129536871235,Slight or No change
127,2019-04-25,129.15,130.06,131.37,128.83,38030000,4,2019,-0.5697128339363977,Slight negative
128,2019-04-24,125.01,125.79,125.85,124.52,31260000,4,2019,-3.205574912891984,Among top losers
129,2019-04-23,125.44,124.1,125.58,123.83,24030000,4,2019,0.34397248220141563,Slight or No change
130,2019-04-22,123.76,122.62,124.0,122.57,15650000,4,2019,-1.3392857142857095,Negative
131,2019-04-18,123.37,122.19,123.52,121.3,27990000,4,2019,-0.31512605042016695,Slight or No change
132,2019-04-17,121.77,121.24,121.85,120.54,19300000,4,2019,-1.2969117289454601,Negative
133,2019-04-16,120.77,121.64,121.65,120.1,14070000,4,2019,-0.8212203334154511,Slight negative
134,2019-04-15,121.05,120.94,121.58,120.57,15790000,4,2019,0.23184565703402438,Slight or No change
135,2019-04-12,120.95,120.64,120.98,120.37,19750000,4,2019,-0.08261049153241995,Slight or No change
136,2019-04-11,120.33,120.54,120.85,119.92,14210000,4,2019,-0.512608515915669,Slight negative
137,2019-04-10,120.19,119.76,120.35,119.54,16480000,4,2019,-0.11634671320535084,Slight or No change
